theory,variant,benchmark,recorded_status,benchmark_status,classification,runtime_seconds
QF_LRA,full,/2019-ezsmt/blending/10.smt2,unsat,unknown,metadata-unknown,0.642082691192627
QF_LRA,full,/2019-ezsmt/blending/17.smt2,sat,unknown,metadata-unknown,0.11909770965576172
QF_LRA,full,/2019-ezsmt/blending/11.smt2,sat,unknown,metadata-unknown,0.11725831031799316
QF_LRA,full,/2019-ezsmt/blending/23.smt2,sat,unknown,metadata-unknown,0.11710906028747559
QF_LRA,full,/2019-ezsmt/blending/input01.txt.smt2,sat,unknown,metadata-unknown,0.11834716796875
QF_LRA,full,/2019-ezsmt/blending/4.smt2,unsat,unknown,metadata-unknown,0.747704267501831
QF_LRA,full,/2019-ezsmt/blending/27.smt2,sat,unknown,metadata-unknown,0.12705564498901367
QF_LRA,full,/2019-ezsmt/blending/1.smt2,unsat,unknown,metadata-unknown,0.7519934177398682
QF_LRA,full,/2019-ezsmt/blending/15.smt2,sat,unknown,metadata-unknown,0.11991214752197266
QF_LRA,full,/2019-ezsmt/blending/6.smt2,unsat,unknown,metadata-unknown,0.8464863300323486
QF_LRA,full,/2019-ezsmt/blending/26.smt2,sat,unknown,metadata-unknown,0.11957931518554688
QF_LRA,full,/2019-ezsmt/blending/9.smt2,unsat,unknown,metadata-unknown,0.7379031181335449
QF_LRA,full,/2019-ezsmt/blending/29.smt2,sat,unknown,metadata-unknown,0.11974382400512695
QF_LRA,full,/2019-ezsmt/blending/25.smt2,sat,unknown,metadata-unknown,0.12347674369812012
QF_LRA,full,/2019-ezsmt/travellingSalesperson/tsp_rand_70_300_1155482584_5.lp.smt2,sat,unknown,metadata-unknown,9.10283899307251
QF_LRA,full,/2019-ezsmt/travellingSalesperson/rand_70_300_1155482584_7.lp.smt2,sat,unknown,metadata-unknown,9.109110116958618
QF_LRA,full,/2019-ezsmt/travellingSalesperson/dom_rand_70_300_1155482584_3.lp.smt2,sat,unknown,metadata-unknown,4.7949628829956055
QF_LRA,full,/2019-ezsmt/travellingSalesperson/rand_70_300_1155482584_12.lp.smt2,sat,unknown,metadata-unknown,4.611002683639526
QF_LRA,full,/2019-ezsmt/travellingSalesperson/rand_70_300_1155482584_3.lp.smt2,sat,unknown,metadata-unknown,2.6891586780548096
QF_LRA,full,/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_10.lp.smt2,sat,unknown,metadata-unknown,15.724148511886597
QF_LRA,full,/2019-ezsmt/travellingSalesperson/rand_70_300_1155482584_5.lp.smt2,sat,unknown,metadata-unknown,4.90954327583313
QF_LRA,full,/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_11.lp.smt2,sat,unknown,metadata-unknown,11.593872308731079
QF_LRA,full,/2019-ezsmt/travellingSalesperson/tsp_rand_70_300_1155482584_12.lp.smt2,sat,unknown,metadata-unknown,8.834073543548584
QF_LRA,full,/2019-ezsmt/travellingSalesperson/rand_70_300_1155482584_4.lp.smt2,sat,unknown,metadata-unknown,5.511538505554199
QF_LRA,full,/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_16.lp.smt2,sat,unknown,metadata-unknown,6.050825595855713
QF_LRA,full,/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_13.lp.smt2,sat,unknown,metadata-unknown,12.479947805404663
QF_LRA,full,/2019-ezsmt/travellingSalesperson/tsp_rand_70_300_1155482584_0.lp.smt2,sat,unknown,metadata-unknown,4.702570915222168
QF_LRA,full,/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_6.lp.smt2,sat,unknown,metadata-unknown,10.79080057144165
QF_LRA,full,/2019-ezsmt/travellingSalesperson/tsp_rand_70_300_1155482584_14.lp.smt2,sat,unknown,metadata-unknown,4.999408006668091
QF_LRA,full,/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_15.lp.smt2,sat,unknown,metadata-unknown,19.624942541122437
QF_LRA,full,/2019-ezsmt/travellingSalesperson/tsp_rand_70_300_1155482584_11.lp.smt2,sat,unknown,metadata-unknown,2.701319932937622
QF_LRA,full,/2019-ezsmt/travellingSalesperson/rand_70_300_1155482584_14.lp.smt2,sat,unknown,metadata-unknown,6.103378772735596
QF_LRA,full,/2019-ezsmt/travellingSalesperson/rand_70_300_1155482584_11.lp.smt2,sat,unknown,metadata-unknown,2.272077798843384
QF_LRA,full,/2019-ezsmt/travellingSalesperson/tsp_rand_70_300_1155482584_8.lp.smt2,sat,unknown,metadata-unknown,6.312527656555176
QF_LRA,full,/2019-ezsmt/travellingSalesperson/tsp_rand_70_300_1155482584_7.lp.smt2,sat,unknown,metadata-unknown,9.92794418334961
QF_LRA,full,/2019-ezsmt/travellingSalesperson/rand_70_300_1155482584_9.lp.smt2,sat,unknown,metadata-unknown,5.203103542327881
QF_LRA,full,/2019-ezsmt/travellingSalesperson/tsp_rand_70_300_1155482584_9.lp.smt2,sat,unknown,metadata-unknown,7.406676530838013
QF_LRA,full,/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_17.lp.smt2,sat,unknown,metadata-unknown,17.609315156936646
QF_LRA,full,/2019-ezsmt/travellingSalesperson/rand_70_300_1155482584_0.lp.smt2,sat,unknown,metadata-unknown,3.1816418170928955
QF_LRA,full,/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_0.lp.smt2,sat,unknown,metadata-unknown,10.579102516174316
QF_LRA,full,/2019-ezsmt/travellingSalesperson/rand_70_300_1155482584_8.lp.smt2,sat,unknown,metadata-unknown,4.301009654998779
QF_LRA,full,/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_4.lp.smt2,sat,unknown,metadata-unknown,5.234557628631592
QF_LRA,full,/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_18.lp.smt2,sat,unknown,metadata-unknown,21.53793954849243
QF_LRA,full,/2019-ezsmt/travellingSalesperson/tsp_rand_70_300_1155482584_4.lp.smt2,sat,unknown,metadata-unknown,10.322476863861084
QF_LRA,full,/2019-ezsmt/Labyrinth/SCC_Strong/0143-labyrinth-14-0.smt2,sat,unknown,metadata-unknown,43.76203203201294
QF_LRA,full,/2019-ezsmt/Labyrinth/SCC_Strong/0051-labyrinth-12-0.smt2,sat,unknown,metadata-unknown,13.669284582138062
QF_LRA,full,/2019-ezsmt/Labyrinth/SCC_Strong/0084-labyrinth-17-0.smt2,sat,unknown,metadata-unknown,253.27227878570557
QF_LRA,full,/2019-ezsmt/Labyrinth/SCC_Strong/0003-labyrinth-11-0.smt2,sat,unknown,metadata-unknown,8.874489307403564
QF_LRA,full,/2019-ezsmt/Labyrinth/SCC_Strong/0092-labyrinth-17-0.smt2,sat,unknown,metadata-unknown,149.40242314338684
